iter	Passed	Remaining
144	18704	110292
145	18960	110904
146	19194	111380
147	19326	111258
148	19446	111064
149	19572	110908
150	19694	110731
151	19815	110550
152	19922	110290
153	20097	110404
154	20218	110221
155	20330	109991
156	20548	110334
157	20760	110637
158	20855	110311
159	20947	109972
160	21069	109798
161	21231	109827
162	21342	109594
163	21485	109522
164	21625	109437
165	21744	109246
166	21833	108906
167	21911	108513
168	22006	108207
169	22129	108046
170	22249	107866
171	22357	107630
172	22447	107307
173	22529	106950
174	22612	106599
175	22693	106246
176	22774	105894
177	22879	105655
178	22963	105324
179	23057	105039
180	23141	104710
181	23233	104423
182	23315	104089
183	23393	103744
184	23484	103459
185	23578	103186
186	23677	102940
187	23780	102712
188	23880	102472
189	24011	102366
190	24139	102247
191	24243	102023
192	24332	101742
193	24417	101444
194	24513	101195
195	24597	100898
196	24688	100632
197	24793	100426
198	24905	100247
199	25007	100028
200	25107	99805
201	25256	99777
202	25384	99664
203	25485	99444
204	25575	99182
205	25671	98945
206	25776	98746
207	25869	98502
208	25957	98242
209	26063	98046
210	26186	97918
211	26309	97790
212	26463	97777
213	26577	97617
214	26709	97521
215	26832	97392
216	26987	97380
217	27105	97231
218	27203	97011
219	27287	96746
220	27376	96497
221	27484	96321
222	27617	96227
223	27730	96068
224	27837	95884
225	27969	95789
226	28074	95601
227	28171	95388
228	28317	95338
229	28424	95159
230	28525	94960
231	28665	94891
232	29087	95751
233	29366	96130
234	29514	96078
235	29620	95888
236	29747	95770
237	29850	95571
238	29935	95318
239	30028	95089
240	30128	94886
241	30242	94727
242	30356	94568
243	30490	94469
244	30626	94378
245	30786	94361
246	30962	94392
247	31086	94263
248	31223	94173
249	31373	94121
250	31482	93945
251	31638	93909
252	31787	93856
253	31918	93743
254	32020	93550
255	32120	93351
256	32222	93156
257	32321	92956
258	32428	92776
259	32532	92591
260	32645	92433
261	32757	92270
262	32855	92071
263	32971	91921
264	33075	91737
265	33182	91564
266	33279	91363
267	33380	91172
268	33479	90978
269	33558	90732
270	33639	90492
271	33728	90273
272	33819	90062
273	33906	89840
274	34000	89637
275	34089	89421
276	34175	89202
277	34277	89023
278	34375	88833
279	34463	88621
280	34547	88396
281	34636	88188
282	34718	87961
283	34802	87741
284	34895	87545
285	34985	87340
286	35073	87133
287	35152	86905
288	35232	86678
289	35316	86465
290	35397	86242
291	35480	86027
292	35575	85841
293	35667	85650
294	35768	85480
295	35876	85328
296	35985	85177
297	36076	84986
298	36166	84792
299	36254	84593
300	36350	84415
301	36386	84099
302	36474	83902
303	36567	83719
304	36653	83521
305	36755	83359
306	36841	83163
307	36934	82982
308	37037	82825
309	37141	82669
310	37236	82495
311	37352	82366
312	37471	82245
313	37588	82120
314	37693	81967
315	37781	81781
316	37978	81828
317	38221	81971
318	38320	81807
319	38426	81656
320	38535	81513
321	38646	81374
322	38749	81218
323	38864	81088
324	38969	80937
325	39063	80762
326	39160	80597
327	39275	80466
328	39381	80319
329	39471	80139
330	39566	79969
331	39659	79796
332	39754	79628
333	39854	79470
334	39948	79301
335	40043	79133
336	40141	78973
337	40240	78813
338	40332	78642
339	40425	78472
340	40523	78314
341	40617	78146
342	40708	77975
343	40801	77807
344	40892	77636
345	40999	77496
346	41095	77335
347	41185	77164
348	41282	77006
349	41376	76842
350	41474	76686
351	41574	76535
352	41664	76364
353	41760	76207
354	41855	76046
355	41951	75890
356	42052	75740
357	42146	75581
358	42237	75415
359	42321	75238
360	42420	75087
361	42509	74919
362	42612	74777
363	42711	74627
364	42820	74495
365	42913	74337
366	43012	74188
367	43115	74045
368	43222	73912
369	43321	73763
370	43410	73599
371	43516	73463
372	43657	73386
373	43755	73238
374	43851	73085
375	43948	72935
376	44041	72779
377	44129	72615
378	44219	72454
379	44312	72299
380	44407	72147
381	44511	72011
382	44600	71849
383	44720	71739
384	44816	71589
385	44925	71462
386	45040	71343
387	45137	71196
388	45241	71061
389	45343	70921
390	45438	70771
391	45538	70631
392	45639	70491
393	45732	70339
394	45815	70173
395	45917	70036
396	46009	69882
397	46103	69733
398	46202	69593
